ID,X273C1,X273C2,X273sh18.2,X273sh18.1,X273sh53.2,X273sh53.1,X379C1,X379C2,X379sh18.2,X379sh18.1
ENSG00000223972,0,1,1,1,1,1,0,0,0,0
ENSG00000227232,304,418,270,308,229,362,189,293,315,325
ENSG00000278267,37,49,35,52,31,44,19,28,56,29
ENSG00000243485,1,0,0,2,2,0,0,1,0,0
ENSG00000237613,0,0,0,0,0,0,0,0,0,0
ENSG00000268020,0,0,0,0,0,0,0,0,0,0
ENSG00000240361,0,0,0,0,0,0,0,0,0,0
ENSG00000186092,0,0,0,0,0,0,0,0,0,0
ENSG00000238009,1,0,0,0,0,0,1,0,1,0
ENSG00000239945,0,0,0,0,0,0,0,0,0,0
ENSG00000233750,5,2,2,3,3,9,5,3,2,4
ENSG00000268903,0,0,2,0,0,1,0,0,0,2
ENSG00000269981,1,3,0,2,3,2,0,3,6,3
ENSG00000239906,0,0,0,0,0,0,0,0,0,0
ENSG00000241860,12,29,17,8,10,15,11,6,6,2
ENSG00000222623,0,0,0,0,0,0,0,0,0,0
ENSG00000241599,0,0,0,0,0,0,0,0,0,0
ENSG00000279928,1,4,1,2,0,3,0,2,2,5
ENSG00000279457,498,610,432,539,382,545,324,436,491,483
ENSG00000273874,0,7,0,2,0,4,0,2,1,3
ENSG00000228463,10,3,7,7,2,13,6,5,5,14
ENSG00000241670,0,0,0,0,0,0,0,0,0,0
ENSG00000236679,2,0,0,2,1,5,0,2,0,1
ENSG00000236743,0,0,0,1,0,1,0,0,0,0
ENSG00000236601,1,0,0,0,0,0,0,0,0,0
ENSG00000237094,13,24,10,19,16,13,19,18,21,15
ENSG00000269732,0,0,0,0,0,0,0,0,0,0
ENSG00000278566,0,0,0,0,0,0,0,0,0,0
ENSG00000224813,0,0,0,0,0,0,0,0,0,0
ENSG00000233653,0,1,0,1,1,1,1,1,1,2
ENSG00000250575,1,3,2,5,0,6,0,0,3,0
ENSG00000278757,0,0,0,0,0,0,0,0,0,0
ENSG00000230021,1,0,4,2,2,3,2,3,2,2
ENSG00000235146,0,0,0,0,0,0,0,0,0,0
ENSG00000225972,16,16,9,12,9,30,5,10,12,13
ENSG00000225630,842,1067,698,870,686,1051,399,651,940,835
ENSG00000237973,593,813,732,666,531,796,816,1287,1462,1901
ENSG00000278791,0,0,0,0,0,0,0,0,0,0
ENSG00000229344,46,51,28,36,34,45,32,44,32,57
ENSG00000240409,18,29,28,26,13,31,14,24,23,41
ENSG00000248527,16064,26829,16998,16904,14746,22443,14641,20489,24685,29492
ENSG00000198744,35,44,28,30,25,43,20,23,45,59
ENSG00000268663,1,0,0,0,0,0,0,0,0,0
ENSG00000273547,0,0,0,0,0,0,0,0,0,0
ENSG00000283574,0,0,0,0,0,0,0,0,0,0
ENSG00000229376,7,10,5,7,13,15,1,5,8,7
ENSG00000228327,282,303,208,255,210,278,116,154,187,143
ENSG00000223181,0,0,1,0,0,0,0,0,1,0
ENSG00000229905,1,1,0,0,0,1,0,1,0,0
ENSG00000237491,85,91,54,61,54,93,17,20,17,19
ENSG00000230092,7,10,8,9,10,9,2,2,7,10
ENSG00000177757,15,13,12,6,13,19,7,17,12,4
ENSG00000228794,471,396,352,454,404,633,255,356,456,460
ENSG00000225880,47,61,31,36,19,55,24,31,21,14
ENSG00000230368,2,0,0,1,0,0,0,0,0,0
ENSG00000234711,0,0,0,0,0,0,0,0,1,0
ENSG00000283040,0,0,0,0,0,0,0,0,0,0
ENSG00000272438,20,23,23,22,20,25,5,8,8,12
ENSG00000230699,115,107,103,101,80,124,12,20,55,36
ENSG00000241180,20,13,14,15,6,20,5,5,4,7
ENSG00000223764,162,163,88,144,112,145,13,14,30,31
ENSG00000187634,214,225,102,133,173,272,6,9,12,9
ENSG00000188976,6247,7889,4817,5772,5678,7863,2850,3893,3155,3958
ENSG00000187961,2437,3177,1572,1903,1962,2428,800,1049,1082,1186
ENSG00000187583,21,9,7,15,6,22,0,1,4,1
ENSG00000187642,12,3,5,8,2,17,1,1,2,2
ENSG00000272512,149,166,47,89,163,187,1,12,5,1
ENSG00000188290,1959,1943,1167,1664,1290,2020,164,242,160,147
ENSG00000187608,319,348,269,361,259,414,117,166,132,182
ENSG00000231702,17,15,4,3,6,6,0,1,0,0
ENSG00000224969,59,69,25,33,34,50,2,5,2,1
ENSG00000188157,30424,39296,26254,25635,25134,36648,22344,29775,23760,27745
ENSG00000242590,0,0,0,0,0,0,0,0,0,0
ENSG00000217801,136,105,53,58,73,123,29,40,9,12
ENSG00000273443,40,23,9,14,19,23,6,4,3,3
ENSG00000237330,1,7,1,3,0,6,0,1,0,1
ENSG00000131591,1130,1333,908,1051,1053,1364,601,781,753,814
ENSG00000223823,1,0,0,1,0,2,0,1,0,1
ENSG00000207730,0,0,0,0,0,0,0,0,0,0
ENSG00000207607,0,0,0,0,0,0,0,0,0,0
ENSG00000198976,0,0,0,0,0,0,0,0,0,0
ENSG00000272141,1,1,0,5,0,1,0,2,1,1
ENSG00000205231,3,0,1,0,1,2,0,1,1,1
ENSG00000162571,1,3,0,1,0,1,0,1,2,0
ENSG00000186891,19,6,10,9,3,3,2,4,2,7
ENSG00000186827,6,12,3,2,0,4,3,3,4,9
ENSG00000078808,9537,10764,8712,10048,7813,12308,4531,6110,7087,8637
ENSG00000176022,3446,3412,2601,3383,2988,5056,1986,2670,2171,3419
ENSG00000184163,114,93,42,70,26,53,18,32,78,33
ENSG00000260179,26,22,10,9,11,12,7,13,23,11
ENSG00000160087,2768,3201,2245,2722,2562,3890,1504,2114,1728,2214
ENSG00000230415,150,181,134,143,122,170,37,55,99,62
ENSG00000162572,922,1215,684,706,712,943,206,287,564,350
ENSG00000131584,11268,13955,8280,9800,10032,12306,5023,6670,9652,6647
ENSG00000278073,2,0,0,0,0,0,0,2,0,0
ENSG00000169972,795,957,508,606,727,1005,433,563,392,449
ENSG00000127054,5917,6758,4093,5167,3680,5391,2252,3063,3159,3330
ENSG00000240731,254,324,139,178,160,242,85,109,170,116
ENSG00000224051,991,1027,771,989,783,1268,460,629,739,983
ENSG00000169962,74,75,42,62,46,36,39,66,140,173
ENSG00000107404,5432,6852,3742,4652,4573,6629,1986,2673,1993,2757
ENSG00000162576,394,378,308,333,293,456,182,241,235,227
ENSG00000175756,3069,3637,2749,3308,3195,4388,1964,2485,2614,3078
ENSG00000223663,3,3,1,4,3,2,0,1,1,0
ENSG00000221978,16619,18105,13045,15274,11093,16829,5949,8226,11388,12151
ENSG00000224870,926,1029,678,885,781,1230,472,635,499,726
ENSG00000242485,2047,2446,1766,2131,1977,3040,1422,1938,1679,2105
ENSG00000264293,0,0,0,0,0,0,0,0,0,0
ENSG00000272455,239,334,174,229,209,327,84,114,68,112
ENSG00000235098,206,170,84,193,70,171,30,28,15,20
ENSG00000225905,27,21,12,16,9,25,0,2,5,4
ENSG00000205116,79,66,37,59,34,47,15,28,23,17
ENSG00000225285,295,270,122,175,112,303,38,48,19,24
ENSG00000179403,6023,6930,5566,6591,5553,8821,2648,3454,1744,1883
ENSG00000215915,195,182,125,168,93,175,30,34,50,41
ENSG00000160072,2378,2632,1764,2133,2196,2646,872,1319,1527,1383
ENSG00000197785,3785,4667,3035,3636,3860,5418,1647,2257,1965,2214
ENSG00000205090,305,366,250,318,261,362,151,216,152,199
ENSG00000160075,5687,6796,3507,4658,5353,8251,2763,3583,3408,4375
ENSG00000215014,51,38,27,26,21,46,13,16,9,27
ENSG00000279244,2,0,0,1,0,0,0,2,0,0
ENSG00000274481,3,0,0,1,0,3,0,1,0,2
ENSG00000228594,1532,1984,1239,1562,1528,2094,281,362,182,528
ENSG00000272106,721,920,371,594,410,789,340,481,190,361
ENSG00000197530,3887,4205,2699,3499,2872,4034,1187,1576,2261,2515
ENSG00000189409,54,50,21,47,16,35,8,9,30,12
ENSG00000248333,2830,3079,1984,2649,2375,3777,1323,1806,1504,1873
ENSG00000272004,5,3,2,2,3,5,6,4,1,4
ENSG00000189339,4437,5335,3997,4615,3097,4825,2038,2672,3342,4311
ENSG00000269737,86,95,56,59,77,111,54,100,98,73
ENSG00000215914,18,14,11,15,10,7,3,3,4,8
ENSG00000008128,956,989,563,734,674,934,324,400,553,541
ENSG00000268575,206,256,130,173,130,235,92,131,95,125
ENSG00000227775,431,540,375,440,300,470,332,426,499,548
ENSG00000215790,293,350,148,229,167,263,139,151,186,202
ENSG00000008130,4801,5433,3040,4022,3822,6186,1671,2428,1591,1941
ENSG00000078369,22960,26057,17264,22249,17677,30953,16424,21755,16797,22041
ENSG00000231050,32,24,12,17,8,25,10,15,16,21
ENSG00000169885,74,49,52,62,29,59,14,24,48,40
ENSG00000178821,113,174,89,103,139,167,2,4,5,14
ENSG00000142609,13,8,5,10,1,16,3,4,0,8
ENSG00000233542,0,0,0,0,0,0,1,0,0,3
ENSG00000187730,2,1,5,3,8,2,2,11,6,5
ENSG00000226969,4,0,0,1,0,2,2,0,0,0
ENSG00000067606,316,387,248,273,331,489,310,382,371,503
ENSG00000271806,9,2,1,2,3,9,5,4,7,6
ENSG00000182873,94,96,59,81,65,81,88,128,156,177
ENSG00000162585,3210,3678,2766,3169,2767,4026,1377,1930,1967,2340
ENSG00000234396,9,2,1,4,0,8,2,2,1,2
ENSG00000157933,5550,6640,4625,5215,4656,7513,3110,4263,4484,5416
ENSG00000116151,387,495,293,311,307,422,141,173,161,190
ENSG00000272161,2,2,3,4,2,2,1,0,2,2
ENSG00000269896,75,120,110,116,135,151,27,30,50,49
ENSG00000272420,6,15,6,2,7,14,5,8,4,6
ENSG00000157916,4128,4382,2910,3603,3112,5076,2070,2797,2650,3127
ENSG00000157911,1187,1235,993,1200,1056,1646,787,1068,961,1282
ENSG00000149527,20,14,19,9,2,14,15,14,32,32
ENSG00000224387,0,1,0,0,0,0,0,0,4,0
ENSG00000229393,0,0,0,0,0,0,0,0,5,1
ENSG00000157881,1698,2088,1074,1277,1282,1922,1101,1511,1080,1155
ENSG00000197921,74,64,36,78,32,66,3,11,13,13
ENSG00000272449,16,7,7,7,6,6,2,10,6,4
ENSG00000238164,1,1,6,3,6,2,0,5,10,7
ENSG00000157873,104,60,85,119,54,101,216,261,399,394
ENSG00000225931,1,2,4,0,4,2,0,0,2,0
ENSG00000228037,14,10,1,1,2,9,1,1,3,6
ENSG00000157870,2369,2648,2095,2456,2232,3459,1206,1642,1377,1787
ENSG00000142606,79,68,66,93,33,76,19,30,14,35
ENSG00000237058,0,0,2,0,0,1,0,0,0,0
ENSG00000215912,77,75,57,62,45,83,31,29,44,52
ENSG00000283259,0,0,0,0,0,0,0,0,0,0
ENSG00000233234,0,0,0,0,0,0,0,1,0,0
ENSG00000231630,0,0,0,0,0,0,0,0,0,0
ENSG00000169717,0,0,0,0,0,1,0,0,0,0
ENSG00000177133,2,3,0,1,0,11,0,0,0,0
ENSG00000142611,17,12,1,6,7,31,2,1,0,1
ENSG00000283572,0,0,1,0,0,0,0,0,0,0
ENSG00000226286,0,0,0,0,0,0,0,0,0,0
ENSG00000279839,9,0,0,0,3,4,0,0,0,2
ENSG00000272235,0,0,0,3,0,1,0,0,0,0
ENSG00000130762,38,55,26,57,26,46,1,1,1,4
ENSG00000272088,0,0,0,0,0,0,0,0,0,0
ENSG00000162591,8,36,6,12,15,9,1,1,9,4
ENSG00000207776,0,0,0,0,0,0,0,0,0,0
ENSG00000238260,16,19,6,3,6,13,4,1,2,1
ENSG00000158109,575,641,647,685,590,1022,164,203,515,655
ENSG00000116213,1365,1548,935,1134,1107,1607,339,457,427,401
ENSG00000078900,250,278,207,205,278,269,242,294,174,195
ENSG00000227589,7,3,2,5,1,7,0,3,2,0
ENSG00000235131,0,0,3,0,1,1,2,2,1,0
ENSG00000227372,2492,3074,1786,2117,1760,2761,684,842,876,1040
ENSG00000276189,0,0,0,0,0,0,0,0,0,0
ENSG00000162592,9,7,8,12,8,21,4,3,3,4
ENSG00000235169,11,13,10,19,3,16,5,3,1,0
ENSG00000130764,3210,3395,2146,2868,2188,3505,663,983,849,1080
ENSG00000266075,8,7,6,7,2,11,2,0,0,1
ENSG00000272153,84,96,47,81,44,91,18,22,37,29
ENSG00000116198,1441,1612,1075,1273,1162,1905,324,474,476,625
ENSG00000169598,464,499,329,460,270,484,87,121,137,139
ENSG00000198912,1601,1702,1054,1359,1252,2103,238,329,271,358
ENSG00000236423,51,39,30,49,24,55,5,5,3,5
ENSG00000233304,4,2,0,2,0,1,0,0,0,0
ENSG00000226374,1,0,0,1,0,0,0,0,0,0
ENSG00000229280,0,0,1,0,0,1,0,1,0,0
ENSG00000235054,0,0,0,0,0,0,0,0,0,0
ENSG00000227169,0,0,0,0,0,0,0,0,0,0
ENSG00000232596,2,0,0,1,0,1,1,0,0,1
ENSG00000196581,5,0,0,0,0,2,1,1,0,0
ENSG00000231510,2,0,1,0,0,3,1,0,0,1
ENSG00000260972,0,0,1,0,0,0,0,0,0,0
ENSG00000283356,0,0,0,0,0,0,0,0,0,0
ENSG00000236948,0,0,0,0,0,0,1,0,0,1
ENSG00000264341,4,0,0,0,0,0,0,0,0,0
ENSG00000264101,2,0,0,0,1,0,0,0,0,0
ENSG00000131697,740,829,535,508,689,900,210,271,184,187
ENSG00000069424,606,745,339,548,443,845,98,123,137,133
ENSG00000116254,112,64,37,105,68,167,81,116,29,111
ENSG00000116251,10296,13692,9434,9602,8808,13101,2272,3019,2515,3603
ENSG00000226944,9,9,9,9,7,2,1,0,3,2
ENSG00000158286,239,301,281,329,230,273,31,43,60,59
ENSG00000116237,4526,4714,3367,4461,4090,7197,1860,2520,2250,2836
ENSG00000225077,12,7,5,14,1,20,1,2,4,6
ENSG00000173673,3,0,1,1,0,4,0,0,1,0
ENSG00000158292,2220,2850,1644,2129,2068,3087,1818,2368,2090,2342
ENSG00000097021,4325,6011,3151,3705,4005,6096,1417,1769,947,1203
ENSG00000271746,0,0,0,0,0,0,0,0,0,0
ENSG00000069812,14,13,2,4,3,21,1,4,0,2
ENSG00000187017,565,403,156,151,97,166,69,95,10,22
ENSG00000265392,0,0,0,0,0,0,0,0,0,0
ENSG00000231868,7,0,0,1,0,7,1,2,0,1
ENSG00000215788,1035,1302,521,594,563,778,354,456,262,270
ENSG00000171680,2174,2776,1231,1566,1149,1905,999,1370,798,1181
ENSG00000162408,1453,1583,1302,1428,1110,1743,308,481,467,484
ENSG00000253022,0,3,0,1,1,1,0,0,0,0
ENSG00000229519,26,27,16,14,20,26,2,8,9,4
ENSG00000173662,6,14,4,5,3,3,5,8,9,15
ENSG00000204859,1065,1151,749,1024,831,1237,203,310,295,305
ENSG00000162413,2590,2681,1436,1925,1813,2993,352,513,453,610
ENSG00000116273,2807,3246,1849,2427,2090,3484,572,811,547,615
ENSG00000041988,747,955,568,665,603,873,127,191,212,210
ENSG00000007923,2935,3383,2117,2577,2396,3439,621,834,707,866
ENSG00000228750,2,0,1,1,0,3,0,0,0,0
ENSG00000237436,26,42,22,27,32,44,6,11,5,11
ENSG00000171735,1840,2184,1489,1869,1463,2443,478,687,611,842
ENSG00000227950,3,0,0,2,1,4,0,0,1,2
ENSG00000237365,0,0,0,0,0,1,0,0,0,0
ENSG00000207056,1,0,0,2,0,2,0,0,0,0
ENSG00000237402,0,3,1,1,1,2,0,0,0,1
ENSG00000237728,0,0,2,0,0,1,1,0,0,0
ENSG00000225126,0,0,0,0,0,0,0,0,0,1
ENSG00000270171,8,10,3,2,4,4,1,1,1,2
ENSG00000270035,2,2,2,2,5,2,5,0,0,1
ENSG00000269978,12,5,3,3,3,8,2,4,1,2
ENSG00000049245,3362,3736,3277,3922,3075,5627,807,1025,1844,2309
ENSG00000269925,14,17,14,13,13,24,6,9,9,13
ENSG00000049246,1240,1169,835,1025,855,1497,269,311,384,420
ENSG00000236266,27,23,9,21,11,19,4,2,8,4
ENSG00000049247,1,1,0,0,1,1,0,0,0,0
ENSG00000049249,3,0,1,0,0,3,0,1,1,2
ENSG00000270330,4,0,1,1,0,4,1,1,0,0
ENSG00000116288,7673,9491,7004,8099,7018,11231,2149,2982,2501,3265
ENSG00000200344,0,1,1,4,4,5,2,1,0,0
ENSG00000116285,2971,3801,1915,2549,1666,3190,679,928,789,1233
ENSG00000238290,8,18,8,6,5,8,2,3,0,3
ENSG00000232848,1,0,0,0,0,0,0,1,0,0
ENSG00000229305,1,0,1,0,0,2,0,0,0,0
ENSG00000227634,0,1,0,0,1,0,0,0,0,1
ENSG00000200975,0,0,0,0,0,0,0,0,0,0
ENSG00000233645,2,0,0,1,0,0,0,0,0,1
ENSG00000251977,0,0,0,0,0,0,0,1,0,0
ENSG00000162426,478,499,253,407,289,646,46,61,33,99
ENSG00000252254,0,1,0,0,2,4,0,0,0,0
ENSG00000142599,10763,13499,6943,8334,7126,10756,2422,3217,2476,3425
ENSG00000232912,10,6,0,2,2,4,0,3,3,1
ENSG00000221083,8,4,1,1,1,5,1,0,1,3
ENSG00000270282,0,0,1,0,0,1,1,0,0,0
